Year,DayofYear,Station,Temp,Conductivity,DO,pH,Turbidity,ChlFluor
2022,107,Barkers,1.2,0.24,12.6,7.5,13,8.8
2022,114,Barkers,1.3,0.24,12.3,7.6,14,11.5
2022,121,Barkers,3.4,0.16,12.5,7.6,21,13.1
2022,128,Barkers,11.3,0.18,11.6,7.7,13,40.5
2022,135,Barkers,13.7,0.16,9.8,7.5,19,23.6
2022,142,Barkers,13,0.15,8.8,7.4,10,28.2
2022,149,Barkers,13.2,0.15,8.6,7.4,12,21.8
2022,156,Barkers,16.3,0.15,8.1,7.4,9,9
2022,163,Barkers,17.9,0.15,7.5,7.4,12,11.2
2022,170,Barkers,17.2,0.15,7.8,7.5,14,8.2
2022,177,Barkers,19.4,0.17,7.6,7.6,17,9.2
2022,184,Barkers,20.4,0.16,8.2,7.7,12,12
2022,191,Barkers,20.6,0.16,8.1,7.7,13,14.1
2022,198,Barkers,22.7,0.17,7.4,7.7,10,12.9
2022,205,Barkers,22.3,0.17,6.8,7.6,11,13.3
2022,212,Barkers,18.8,0.16,7.7,7.5,13,7.4
2022,219,Barkers,20.9,0.17,8.6,7.9,8,20
2022,261,Barkers,18,0.19,8.7,7.8,7,14.1
2022,268,Barkers,16.6,0.2,9.7,8,7,24.6
2022,275,Barkers,14.5,0.2,9.9,7.9,7,11.3
2022,282,Barkers,11.6,0.2,10.1,7.9,8,13.2
2022,289,Barkers,9.5,0.2,10.5,7.9,11,11
2022,296,Barkers,8.6,0.2,11.1,7.9,8,7.9
2022,303,Barkers,9.1,0.21,10.8,7.9,6,7.1
2022,310,Barkers,8,0.21,10.8,7.9,6,6.2
2022,317,Barkers,3.9,0.26,11.8,7.9,9,4.4
2022,324,Barkers,0.3,0.27,13,7.9,7,4.5
2023,113,Barkers,2.5,0.16,12.7,7.4,24,8.8
2023,120,Barkers,5.7,0.16,11.9,7.6,33,11.3
2023,127,Barkers,8,0.15,10.7,7.5,11,10.2
2023,134,Barkers,11.9,0.14,10,7.5,8,12.2
2023,141,Barkers,14.3,0.14,8.9,7.4,6,10.6
2023,148,Barkers,14.8,0.15,9.5,7.6,5,10.5
2023,155,Barkers,17.9,0.16,9.2,7.7,5,19.3
2023,162,Barkers,17.7,0.17,9,7.9,5,16
2023,169,Barkers,19.6,0.18,8.2,7.8,6,8.8
2023,176,Barkers,18.2,0.19,7.6,7.7,9,6.5
2023,183,Barkers,22.3,0.21,8,7.8,8,7.1
2023,190,Barkers,20.1,0.2,7.8,7.6,6,5.9
2023,204,Barkers,20,0.18,10,8.3,4,7.9
2023,211,Barkers,21.4,0.19,7.8,7.8,4,2.8
2023,218,Barkers,22.5,0.18,7.8,8,4,2.1
2023,225,Barkers,22,0.18,7.9,7.9,5,4.1
2023,232,Barkers,21.8,0.17,9.8,8.5,4,9.1
2023,239,Barkers,19.4,0.17,10.1,8.7,4,1.6
2023,246,Barkers,21.7,0.19,8,7.9,5,4.6
2023,253,Barkers,20.3,0.19,8,7.7,5,2.4
2023,260,Barkers,18.4,0.21,9.4,7.9,13,26.6
2023,267,Barkers,17.9,0.21,7.6,7.6,10,39.3
2023,274,Barkers,17.4,0.26,6.9,7.5,15,2.1
2023,281,Barkers,14.3,0.3,7.5,7.7,11,3.9
2023,288,Barkers,11.3,0.26,9.6,7.9,20,7.1
2023,295,Barkers,11.4,0.25,8.3,7.6,6,4.2
2023,302,Barkers,7.8,0.23,10,7.8,9,5.9
2023,309,Barkers,4.5,0.23,11.2,7.8,8,6.7
2023,316,Barkers,4.5,0.24,11.2,7.8,8,6.4
2023,323,Barkers,4.2,0.26,11.3,7.7,7,5.9
2024,70,Barkers,1.8,0.22,14.4,8,6,12.5
2024,77,Barkers,1.9,0.22,13.4,8,9,8.8
2024,84,Barkers,1.9,0.2,14.2,8.1,4,13.6
2024,91,Barkers,3.1,0.22,14.6,8.2,5,9.1
2024,98,Barkers,5.5,0.22,13.1,8.2,7,11.5
2024,105,Barkers,10.1,0.28,12.1,8.2,10,13.8
2024,112,Barkers,7.7,0.27,12,8.1,11,13.9
2024,119,Barkers,8.4,0.25,11.3,8,11,21.3
2024,126,Barkers,11.2,0.24,10.8,7.8,13,19.3
2024,133,Barkers,14.1,0.19,9.2,7.6,11,17.5
2024,140,Barkers,14.7,0.18,8.3,7.5,18,19.7
2024,147,Barkers,15.4,0.18,8.7,7.5,27,13.5
2024,154,Barkers,18.9,0.16,6.3,7.2,42,24
2024,161,Barkers,17.7,0.17,7.4,7.4,20,12.3
2024,168,Barkers,18.6,0.18,7.1,7.4,13,NA
2024,175,Barkers,17.4,0.17,7.1,7.4,56,NA
2024,182,Barkers,19.9,0.15,7,7.4,10,NA
2024,189,Barkers,22.4,0.15,7,7.4,10,14.9
2024,196,Barkers,25.4,0.16,5.8,7.3,8,13.5
2024,203,Barkers,23.9,0.16,6.2,7.4,7,12.1
2024,210,Barkers,23.6,0.15,6.4,7.4,16,9.7
2024,217,Barkers,23.5,0.17,6.4,7.4,9,8.4
2024,224,Barkers,19.4,0.17,7.9,7.6,7,6.3
2024,231,Barkers,21.1,0.18,7.9,7.7,6,10.8
2024,238,Barkers,22.6,0.18,8.3,7.9,4,14
2024,245,Barkers,20,0.18,10.3,8.6,7,21.8
2024,252,Barkers,19.1,0.18,11.6,9.1,5,14.5
2024,259,Barkers,21,0.19,8.8,8.4,4,5.7
2024,266,Barkers,20.2,0.2,8,7.8,7,17.5
2024,273,Barkers,20.7,0.2,9.7,8.3,4,9.9
2024,280,Barkers,14.4,0.21,9.5,8,6,9.5
2024,287,Barkers,12.4,0.21,9.9,7.8,10,6.8
2024,301,Barkers,10.3,0.21,10.4,7.9,7,NA
2022,121,Blatnik,3.8,0.11,12.7,7.5,25,NA
2022,128,Blatnik,10,0.11,10.7,7.4,10,NA
2022,135,Blatnik,14.1,0.11,9.8,7.4,30,NA
2022,142,Blatnik,13,0.1,9.7,7.4,16,NA
2022,149,Blatnik,13.2,0.12,9.3,7.5,12,NA
2022,156,Blatnik,15.9,0.12,8.4,7.4,7,NA
2022,163,Blatnik,17.2,0.15,7.9,7.4,11,NA
2022,170,Blatnik,15.8,0.15,8.8,7.6,14,NA
2022,177,Blatnik,18.9,0.14,8,7.6,19,NA
2022,184,Blatnik,14.5,0.15,9.1,7.6,13,NA
2022,191,Blatnik,18.9,0.16,7.6,7.5,12,NA
2022,198,Blatnik,18.2,0.15,7.7,7.5,11,NA
2022,205,Blatnik,20.6,0.18,7.6,7.6,12,NA
2022,212,Blatnik,20.2,0.16,8,7.7,8,NA
2022,219,Blatnik,19.1,0.18,8.9,7.8,10,NA
2022,226,Blatnik,18.3,0.16,8,7.7,10,NA
2022,233,Blatnik,20.7,0.23,6.9,7.7,11,NA
2022,240,Blatnik,20,0.18,7.6,7.6,13,NA
2022,247,Blatnik,19,0.19,8.5,7.8,10,NA
2022,254,Blatnik,18.6,0.2,7.6,7.8,8,NA
2022,261,Blatnik,18.4,0.23,7.6,7.7,14,NA
2022,268,Blatnik,17.2,0.22,7.4,7.7,20,NA
2022,275,Blatnik,14.8,0.21,8.8,7.8,12,NA
2022,282,Blatnik,13.1,0.23,9.1,7.9,10,NA
2022,303,Blatnik,9.3,0.27,10.5,7.8,10,NA
2022,310,Blatnik,8.8,0.27,10.6,7.9,8,NA
2023,190,Blatnik,20.5,0.23,8.9,7.9,5,NA
2023,197,Blatnik,15.4,0.17,9.8,7.9,4,NA
2023,204,Blatnik,18.6,0.22,10.3,8.2,4,NA
2023,211,Blatnik,20.9,0.21,8.8,8,3,NA
2023,218,Blatnik,20.9,0.18,9.1,8.1,2,NA
2023,225,Blatnik,20.6,0.18,8.5,8,3,NA
2023,232,Blatnik,22.1,0.25,11.7,8.9,4,NA
2023,239,Blatnik,19.8,0.21,10,8.6,5,NA
2023,246,Blatnik,23,0.26,8.5,8.1,3,NA
2023,253,Blatnik,20.3,0.22,7.2,7.7,4,3.1
2023,260,Blatnik,19.4,0.26,9.8,8.3,4,12
2023,267,Blatnik,18.5,0.27,8.5,8,6,8.6
2023,274,Blatnik,17.3,0.32,8,7.9,7,4.2
2023,281,Blatnik,15.7,0.3,7.4,7.8,4,5
2023,288,Blatnik,12.2,0.23,9.4,8,7,5.3
2024,126,Blatnik,9.8,0.14,10.6,7.5,11,NA
2024,133,Blatnik,13.6,0.13,9.4,7.4,9,NA
2024,140,Blatnik,13.3,0.15,9.1,7.4,9,NA
2024,147,Blatnik,13.7,0.12,9.5,7.3,21,NA
2024,154,Blatnik,18.3,0.14,8.1,7.3,9,NA
2024,161,Blatnik,18.1,0.14,8,7.4,15,NA
2024,168,Blatnik,18.6,0.14,7.7,7.5,11,NA
2024,175,Blatnik,17.3,0.1,8.8,7.4,15,NA
2024,182,Blatnik,19.7,0.12,7.9,7.4,20,NA
2024,189,Blatnik,22,0.14,6.8,7.4,10,NA
2024,196,Blatnik,26,0.19,5.9,7.3,8,NA
2024,203,Blatnik,22.8,0.15,6.8,7.4,9,NA
2024,210,Blatnik,24.6,0.16,6.5,7.3,9,NA
2024,252,Blatnik,19.1,0.2,8,7.8,7,NA
2024,259,Blatnik,20.8,0.21,8.6,7.9,5,NA
2024,266,Blatnik,20.8,0.22,7.1,7.7,5,NA
2024,273,Blatnik,20.3,0.21,8.2,7.8,4,NA
2024,280,Blatnik,16,0.24,8.3,7.8,6,NA
2024,287,Blatnik,13.2,0.24,9.2,7.9,7,NA
2022,121,Oliver,4.7,0.11,12.9,7.6,22,NA
2022,128,Oliver,10.9,0.11,11,7.5,11,NA
2022,135,Oliver,14.3,0.09,10.5,7.5,43,NA
2022,142,Oliver,12.6,0.1,11,7.5,13,NA
2022,149,Oliver,13.8,0.12,10,7.5,8,NA
2022,156,Oliver,16.8,0.12,9.5,7.5,11,NA
2022,163,Oliver,18.4,0.13,8.5,7.4,6,NA
2022,170,Oliver,18.9,0.13,8.8,7.5,6,NA
2022,177,Oliver,22,0.15,8.1,7.6,10,NA
2022,184,Oliver,21.9,0.15,8.1,7.4,8,NA
2022,191,Oliver,22.1,0.15,8.1,7.6,6,NA
2022,198,Oliver,23.3,0.16,7.8,7.6,6,NA
2022,205,Oliver,24.4,0.17,6.6,7.5,9,NA
2022,212,Oliver,23.4,0.21,7.6,7.7,6,NA
2022,219,Oliver,23.5,0.25,7.4,7.8,4,NA
2022,226,Oliver,21.5,0.21,7.7,7.7,5,NA
2022,233,Oliver,21.7,0.18,8.2,7.6,4,NA
2022,240,Oliver,22.5,0.18,7.6,7.6,3,NA
2022,247,Oliver,21.3,0.19,7.8,7.6,4,NA
2022,254,Oliver,20.7,0.19,7.1,7.4,4,NA
2022,261,Oliver,18.8,0.21,7.5,7.5,4,NA
2022,268,Oliver,16.6,0.24,8.1,7.6,3,NA
2022,275,Oliver,14,0.25,9.5,7.7,4,NA
2022,282,Oliver,12,0.24,9.2,7.6,4,NA
2022,289,Oliver,9.2,0.25,9.8,7.6,4,NA
2022,296,Oliver,7.7,0.25,11.5,7.7,4,NA
2022,303,Oliver,8.3,0.28,11.1,7.7,4,NA
2022,310,Oliver,7.6,0.27,11.1,7.7,9,NA
2023,120,Oliver,6,0.09,13.2,7.5,10,NA
2023,127,Oliver,8.9,0.1,12.2,7.6,11,NA
2023,134,Oliver,13.7,0.1,11.1,7.6,7,NA
2023,141,Oliver,15.8,0.13,9.9,7.5,2,NA
2023,148,Oliver,17.3,0.15,9.9,7.7,1,NA
2023,155,Oliver,22.3,0.17,8.6,7.9,3,NA
2023,162,Oliver,20.2,0.21,7.9,7.8,4,NA
2023,169,Oliver,20.5,0.22,7.7,7.8,4,NA
2023,176,Oliver,20.9,0.22,7.3,7.8,6,NA
2023,183,Oliver,23.6,0.21,7.9,7.8,3,NA
2023,190,Oliver,23.9,0.23,6.8,7.7,3,NA
2023,197,Oliver,23,0.28,7.2,7.8,2,NA
2023,204,Oliver,22.7,0.29,7.7,7.9,3,NA
2023,211,Oliver,23.6,0.27,7.5,7.9,3,NA
2023,218,Oliver,24.1,0.27,7.7,8,2,NA
2023,225,Oliver,22.8,0.3,7.4,8,2,NA
2023,232,Oliver,23.4,0.31,8.2,8.2,1,NA
2023,239,Oliver,20.9,0.3,8,8,1,NA
2023,246,Oliver,23.4,0.3,7.9,8.1,1,NA
2023,253,Oliver,20.9,0.3,6.9,7.8,1,NA
2023,260,Oliver,18.6,0.3,8.4,8,1,NA
2023,267,Oliver,18.3,0.33,8.2,8,2,NA
2023,274,Oliver,16.5,0.21,9.2,7.7,6,NA
2023,281,Oliver,14.9,0.17,8.8,7.6,4,NA
2023,288,Oliver,11.1,0.19,10.2,7.7,3,NA
2023,295,Oliver,10.3,0.2,11.4,7.7,2,NA
2023,302,Oliver,8,0.24,12,7.9,4,NA
2023,309,Oliver,3.5,0.24,13.9,8,4,NA
2024,98,Oliver,5.3,0.26,13,8,10,NA
2024,105,Oliver,8.8,0.2,11.5,7.8,7,NA
2024,112,Oliver,6,0.15,12.3,7.6,9,NA
2024,119,Oliver,8.8,0.15,10.8,7.5,7,NA
2024,126,Oliver,10.1,0.12,11.2,7.5,13,NA
2024,133,Oliver,14.8,0.12,9.8,7.5,8,NA
2024,140,Oliver,15.3,0.14,9.9,7.6,3,NA
2024,147,Oliver,14.9,0.11,10.4,7.6,19,NA
2024,154,Oliver,19,0.13,9.1,7.6,5,NA
2024,161,Oliver,18.3,0.13,9.2,7.6,9,NA
2024,168,Oliver,19,0.13,8.6,7.6,4,NA
2024,175,Oliver,18,0.1,9.7,7.5,33,NA
2024,182,Oliver,19.2,0.12,9.4,7.6,12,NA
2024,189,Oliver,22.1,0.13,8.1,7.4,6,NA
2024,196,Oliver,25.2,0.14,7.5,7.4,5,NA
2024,203,Oliver,24.3,0.14,7.6,7.4,3,NA
2024,210,Oliver,25.1,0.17,7,7.4,2,NA
2024,217,Oliver,24.7,0.18,6.3,7.4,4,NA
2024,224,Oliver,21.4,0.21,7.7,7.7,4,NA
2024,231,Oliver,23.6,0.22,7.5,7.7,3,NA
2024,238,Oliver,22.8,0.23,7.2,7.8,3,NA
2024,245,Oliver,22.2,0.24,7.4,7.8,4,NA
2024,252,Oliver,19.8,0.24,7.4,7.7,3,NA
2024,259,Oliver,21.8,0.26,8,7.7,4,NA
2024,266,Oliver,21.5,0.26,6.9,7.6,4,NA
2024,273,Oliver,20.6,0.27,7.3,7.6,3,NA
2024,280,Oliver,14.8,0.28,8.7,7.8,9,NA
2024,287,Oliver,13.6,0.3,9.2,7.8,4,NA
2022,135,Pokegama,14.9,0.13,8.8,7.5,141,NA
2022,142,Pokegama,12,0.16,8.9,7.5,103,NA
2022,149,Pokegama,11,0.14,9.6,7.6,252,NA
2022,156,Pokegama,18.3,0.16,6.3,7.3,108,NA
2022,163,Pokegama,19.3,0.19,4.5,7.3,90,NA
2022,170,Pokegama,18.8,0.21,5.2,7.4,104,NA
2022,177,Pokegama,19.2,0.2,7,7.5,123,NA
2022,184,Pokegama,23,0.22,5.6,7.4,82,NA
2022,191,Pokegama,22.3,0.23,6.1,7.4,77,NA
2022,198,Pokegama,24.7,0.24,5,7.3,66,NA
2022,205,Pokegama,24.3,0.24,5.6,7.5,70,NA
2022,212,Pokegama,24.9,0.24,5.9,7.5,45,NA
2022,219,Pokegama,23.8,0.23,5.6,7.4,35,NA
2022,226,Pokegama,20.9,0.24,4.8,7.3,20,NA
2022,233,Pokegama,22,0.25,5.5,7.4,45,NA
2022,240,Pokegama,22.7,0.25,5,7.4,19,NA
2022,247,Pokegama,21.3,0.25,5.8,7.5,19,NA
2022,254,Pokegama,19.5,0.26,5.7,7.4,21,NA
2022,261,Pokegama,18.6,0.26,5.4,7.4,17,NA
2022,268,Pokegama,16,0.27,6.4,7.4,17,NA
2022,275,Pokegama,13.6,0.26,7.7,7.5,19,NA
2022,282,Pokegama,10.6,0.26,8.4,7.6,30,NA
2022,289,Pokegama,7.3,0.27,9.3,7.6,102,NA
2022,296,Pokegama,9,0.27,9.1,7.5,112,NA
2022,303,Pokegama,8.6,0.27,8.6,7.5,117,NA
2022,310,Pokegama,7.1,0.29,8.2,7.5,210,NA
2023,134,Pokegama,12.6,0.17,8,7.5,116,NA
2023,141,Pokegama,16.7,0.2,6.6,7.4,99,NA
2023,148,Pokegama,18.3,0.23,5.7,7.4,90,NA
2023,155,Pokegama,22.3,0.24,4.2,7.4,95,NA
2023,162,Pokegama,19.6,0.26,4.1,7.4,86,NA
2023,169,Pokegama,20.6,0.25,5,7.5,86,NA
2023,176,Pokegama,19.8,0.26,4.1,7.4,63,NA
2023,183,Pokegama,24,0.29,4.6,7.4,63,NA
2023,190,Pokegama,23.4,0.28,4.7,7.4,61,NA
2023,197,Pokegama,22.7,0.28,5.1,7.4,63,NA
2023,204,Pokegama,23.1,0.29,5.3,7.4,41,NA
2023,211,Pokegama,23.6,0.3,5.2,7.4,24,NA
2023,218,Pokegama,23.9,0.28,4.7,7.3,17,NA
2023,225,Pokegama,22.2,0.28,4.7,7.3,13,NA
2023,232,Pokegama,23.4,0.29,5.6,7.3,11,NA
2023,239,Pokegama,20.3,0.29,5.7,7.3,16,NA
2023,246,Pokegama,24,0.3,4,7.2,14,NA
2023,253,Pokegama,20.1,0.3,4.1,7.2,15,NA
2023,260,Pokegama,17.3,0.32,4.5,7.2,13,NA
2023,267,Pokegama,17.9,0.31,3.5,7.2,13,NA
2023,274,Pokegama,16.7,0.27,5.9,7.4,60,NA
2023,281,Pokegama,13.1,0.29,3.5,7.2,80,NA
2023,288,Pokegama,10.6,0.3,4.6,7.3,114,NA
2023,295,Pokegama,10.3,0.31,5.6,7.3,111,NA
2023,302,Pokegama,6.2,0.21,9.7,7.5,143,NA
2024,126,Pokegama,11.3,0.13,10.5,7.6,118,NA
2024,133,Pokegama,15.8,0.16,8.8,7.5,131,NA
2024,140,Pokegama,16.4,0.22,7.4,7.5,132,NA
2024,147,Pokegama,15.6,0.14,8.9,7.4,110,NA
2024,154,Pokegama,20.6,0.19,5.4,7.4,106,NA
2024,161,Pokegama,17.5,0.15,7.1,7.4,111,NA
2024,168,Pokegama,18.9,0.2,4.6,7.3,124,NA
2024,175,Pokegama,16.6,0.18,6.1,7.3,111,NA
2024,182,Pokegama,17.3,0.14,7.8,7.4,135,NA
2024,189,Pokegama,22.7,0.18,2.9,7,98,NA
2024,196,Pokegama,27.2,0.2,2,7,123,NA
2024,203,Pokegama,24.2,0.21,2.6,7,119,NA
2024,210,Pokegama,26,0.22,3.2,7,123,NA
2024,217,Pokegama,24.1,0.22,3.4,7.1,97,NA
2024,224,Pokegama,19.7,0.25,5.6,7.2,89,NA
2024,231,Pokegama,22.8,0.28,3.3,7,67,NA
2024,238,Pokegama,22.7,0.27,3.4,7.1,66,NA
2024,245,Pokegama,21.6,0.28,4.4,7.2,58,NA
2024,252,Pokegama,18.7,0.3,4,7.2,48,NA
2024,259,Pokegama,21.3,0.3,2,7.1,45,NA
2024,266,Pokegama,20.4,0.31,3.6,10.6,37,NA
